STUDBME1,STUDBME2,STUDBME3,CMP-lab1,CMP_LAB1,Sbme-Staff,CUFE,bdawy,CIVil-2022,Location
-49.0,-67.0,-100.0,-100.0,-76.0,-86.0,-100.0,-100.0,-100.0,class3
-43.0,-73.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,class3
-32.0,-63.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,class3
-34.0,-62.0,-100.0,-100.0,-82.0,-82.0,-100.0,-100.0,-100.0,class3
-28.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-34.0,-66.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,class3
-39.0,-67.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,class3
-37.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-36.0,-68.0,-100.0,-100.0,-78.0,-81.0,-100.0,-100.0,-100.0,class3
-37.0,-68.0,-100.0,-86.0,-100.0,-80.0,-100.0,-100.0,-100.0,class3
-43.0,-72.0,-100.0,-88.0,-81.0,-76.0,-89.0,-100.0,-100.0,class3
-26.0,-73.0,-100.0,-100.0,-81.0,-84.0,-100.0,-100.0,-100.0,class3
-22.0,-65.0,-100.0,-91.0,-100.0,-72.0,-100.0,-100.0,-100.0,class3
-15.0,-69.0,-100.0,-100.0,-77.0,-75.0,-100.0,-100.0,-100.0,class3
-21.0,-64.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,class3
-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,class3
-17.0,-70.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,class3
-13.0,-69.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,class3
-18.0,-70.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,class3
-13.0,-69.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,class3
-19.0,-68.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,class3
-20.0,-66.0,-100.0,-100.0,-80.0,-83.0,-100.0,-100.0,-100.0,class3
-40.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-20.0,-73.0,-100.0,-90.0,-100.0,-100.0,-91.0,-100.0,-100.0,class3
-40.0,-69.0,-100.0,-100.0,-89.0,-76.0,-100.0,-100.0,-100.0,class3
-23.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,class3
-19.0,-64.0,-100.0,-100.0,-81.0,-84.0,-100.0,-100.0,-100.0,class3
-30.0,-65.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,class3
-100.0,-72.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,class3
-17.0,-70.0,-100.0,-100.0,-100.0,-76.0,-91.0,-100.0,-100.0,class3
-36.0,-71.0,-100.0,-100.0,-100.0,-70.0,-88.0,-100.0,-100.0,class3
-33.0,-67.0,-100.0,-100.0,-80.0,-76.0,-100.0,-100.0,-100.0,class3
-27.0,-66.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,class3
-28.0,-62.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,class3
